canton,loyer_moyen_m2,loyer_1p_m2,loyer_2p_m2,loyer_3p_m2,loyer_4p_m2,loyer_5p_m2,loyer_6p_plus_m2,densite_population,logement_vacants_2023,taux_logements_vacants,nombre_logements_total,population_pct,taux_chomage,taux_logements_proprietaire
AG,16.2,19.1,18.7,16.5,15.4,14.4,14.3,527.4,4778,1.4,348656,7.2,0.039236151280877624,45.5
AI,15.6,,17.9,16.5,13.5,13.5,20.6,97.0,134,1.59,8647,0.2,,49.4
AR,13.4,13.7,14.3,14.5,12.7,12.7,12.6,233.5,359,1.2,30370,0.6,0.026280277983941704,46.9
BE,15.7,18.9,17.1,15.8,15.2,14.7,15.1,183.4,7817,1.33,595347,12.3,0.029257469591068938,38.0
BL,17.8,19.9,19.3,17.7,17.5,16.3,18.0,582.1,1359,0.92,150586,3.1,0.03680591516613463,43.5
BS,19.2,23.1,20.0,18.6,18.7,19.1,18.8,5450.2,1229,1.07,116651,2.4,0.06371779129424979,15.9
FR,15.5,19.2,18.0,15.4,14.5,14.1,13.5,217.7,2253,1.38,168373,3.5,0.04967228769234108,41.7
GE,20.8,24.4,22.4,20.8,19.7,19.9,22.2,2160.0,1041,0.42,251960,5.2,0.1061923081701363,18.4
GL,13.7,23.7,14.7,13.3,12.7,15.3,13.5,62.2,294,1.25,23913,0.5,0.025440402653854954,47.3
GR,16.2,18.8,18.6,16.6,15.4,14.3,12.9,29.0,1057,0.58,185989,3.8,0.020996942903692313,43.9
JU,12.1,13.1,12.7,12.9,11.6,10.9,10.2,89.3,1292,3.17,41897,0.9,0.05730780061954379,50.6
LU,16.4,21.9,19.3,16.6,15.5,14.9,15.3,306.4,2009,0.96,213845,4.4,0.03101621594692661,34.1
NE,13.3,14.5,14.0,13.1,13.4,12.7,12.5,250.4,1824,1.85,100319,2.1,0.06420186239463348,29.9
NW,16.1,17.1,19.7,16.3,15.8,14.6,13.1,187.9,188,0.82,23279,0.5,0.02185749230647834,38.2
OW,15.0,16.9,17.6,14.9,14.5,14.4,13.3,82.5,96,0.43,22959,0.5,0.015283944846926852,43.2
SG,15.0,17.1,16.7,15.6,14.4,13.6,13.4,276.8,3834,1.42,275324,5.7,0.034602254738667806,38.7
SH,14.6,19.2,16.9,14.7,13.8,13.3,14.9,297.4,480,1.07,46110,1.0,0.035416211492243825,41.5
SO,14.6,19.1,16.2,14.5,14.0,13.9,12.9,366.6,3445,2.39,146581,3.0,0.03930427223213757,45.7
SZ,17.8,20.4,19.9,18.6,16.8,16.9,16.7,198.4,413,0.5,84292,1.7,0.029084165049688575,39.3
TG,14.5,17.6,16.5,14.6,14.0,13.4,13.4,347.0,2066,1.45,147119,3.0,0.03743088831551788,44.6
TI,14.3,13.1,14.8,14.3,14.2,14.5,14.7,131.1,5489,2.17,257629,5.3,0.07133030391462042,38.2
UR,13.5,15.8,15.7,14.3,13.2,11.7,11.4,36.2,138,0.64,22150,0.5,0.023235843814719402,46.8
VD,18.8,25.4,20.6,18.7,17.4,17.0,17.9,302.9,4230,0.98,443583,9.2,0.07119074081348303,30.0
VS,14.9,19.4,16.8,15.0,13.5,12.9,19.2,71.2,4583,1.69,277689,5.7,0.039741254321722,53.6
ZG,20.7,24.8,23.5,21.2,19.8,19.3,21.7,645.6,254,0.42,62454,1.3,0.03902345776782545,31.6
ZH,20.7,27.4,23.8,20.8,19.2,18.3,18.7,975.4,4103,0.53,794374,16.4,0.04059788125609673,26.7
