canton,loyer_moyen_m2,loyer_1p_m2,loyer_2p_m2,loyer_3p_m2,loyer_4p_m2,loyer_5p_m2,loyer_6p_plus_m2
AG,16.2,19.1,18.7,16.5,15.4,14.4,14.3
AI,15.6,,17.9,16.5,13.5,13.5,20.6
AR,13.4,13.7,14.3,14.5,12.7,12.7,12.6
BE,15.7,18.9,17.1,15.8,15.2,14.7,15.1
BL,17.8,19.9,19.3,17.7,17.5,16.3,18.0
BS,19.2,23.1,20.0,18.6,18.7,19.1,18.8
FR,15.5,19.2,18.0,15.4,14.5,14.1,13.5
GE,20.8,24.4,22.4,20.8,19.7,19.9,22.2
GL,13.7,23.7,14.7,13.3,12.7,15.3,13.5
GR,16.2,18.8,18.6,16.6,15.4,14.3,12.9
JU,12.1,13.1,12.7,12.9,11.6,10.9,10.2
LU,16.4,21.9,19.3,16.6,15.5,14.9,15.3
NE,13.3,14.5,14.0,13.1,13.4,12.7,12.5
NW,16.1,17.1,19.7,16.3,15.8,14.6,13.1
OW,15.0,16.9,17.6,14.9,14.5,14.4,13.3
SG,15.0,17.1,16.7,15.6,14.4,13.6,13.4
SH,14.6,19.2,16.9,14.7,13.8,13.3,14.9
SO,14.6,19.1,16.2,14.5,14.0,13.9,12.9
SZ,17.8,20.4,19.9,18.6,16.8,16.9,16.7
TG,14.5,17.6,16.5,14.6,14.0,13.4,13.4
TI,14.3,13.1,14.8,14.3,14.2,14.5,14.7
UR,13.5,15.8,15.7,14.3,13.2,11.7,11.4
VD,18.8,25.4,20.6,18.7,17.4,17.0,17.9
VS,14.9,19.4,16.8,15.0,13.5,12.9,19.2
ZG,20.7,24.8,23.5,21.2,19.8,19.3,21.7
ZH,20.7,27.4,23.8,20.8,19.2,18.3,18.7
